Country/Region,Law/Policy Name,Status,Year,Scope,Provenance
Uruguay,AI Regulation Proposals,Draft,2023.0,"Transparency, User Consent",https://gcore.com/blog/ai-regulations-2024-global-cheat-sheet
Malaysia,AI Ethics & Governance Guidelines,Draft,2023.0,"Ethics, Governance",https://www.mindfoundry.ai/blog/ai-regulations-around-the-world
Indonesia,AI National Regulation Task Force,Draft,2023.0,AI platform oversight,https://www.mindfoundry.ai/blog/ai-regulations-around-the-world
Philippines,Bills on AI Deepfakes & Transparency,Draft,2023.0,"Deepfakes, Transparency",https://www.fairly.ai/blog/map-of-global-ai-regulations
Turkey,Proposed AI Law,Draft,2023.0,General AI regulation,https://www.fairly.ai/blog/map-of-global-ai-regulations
Oman,National AI Plan,Policy,2022.0,"Ethics, R&D, Innovation",https://www.fairly.ai/blog/map-of-global-ai-regulations
Sri Lanka,National Strategy on AI,Policy,2023.0,"Ethics, Governance",https://www.fairly.ai/blog/map-of-global-ai-regulations
Hong Kong,AI Privacy Framework / Consumer Protection,Draft/Policy,2023.0,"Privacy, Consumer Protection",https://www.fairly.ai/blog/map-of-global-ai-regulations
Argentina,Draft AI Regulation Bill,Draft,2023.0,"Innovation, Liability",https://gcore.com/blog/ai-regulations-2024-global-cheat-sheet
South Africa,AI National Policy (draft),Draft,2023.0,"Ethics, Innovation",https://www.addleshawgoddard.com/globalassets/insights/employment/global-ai-laws---overview---june-2024-pdf.pdf
Australia,Voluntary AI Standards,Policy,2023.0,"Transparency, Oversight",https://en.wikipedia.org/wiki/Regulation_of_artificial_intelligence
New Zealand,AI Regulatory Guidance,Policy,2023.0,"Privacy, Fairness",https://en.wikipedia.org/wiki/Regulation_of_artificial_intelligence
Mexico,AI Ethics Charter,Policy,2021.0,"Ethics, Principles",https://www.gob.mx
Brazil,AI Ethics Guidelines (before Bill 2338),Policy,2021.0,"Ethics, Innovation",https://www.camara.leg.br
Algeria,,Nothing found,,,
Bahrain,,Nothing found,,,
Egypt,,Nothing found,,,
Iran,,Nothing found,,,
Iraq,,Nothing found,,,
Jordan,,Nothing found,,,
Kuwait,,Nothing found,,,
Lebanon,,Nothing found,,,
Libya,,Nothing found,,,
Morocco,,Nothing found,,,
Qatar,,Nothing found,,,
Syria,,Nothing found,,,
Tunisia,,Nothing found,,,
Yemen,,Nothing found,,,
State of Palestine,,Nothing found,,,
Afghanistan,,Nothing found,,,
Bangladesh,,Nothing found,,,
Bhutan,,Nothing found,,,
Maldives,,Nothing found,,,
Nepal,,Nothing found,,,
Kazakhstan,,Nothing found,,,
Kyrgyzstan,,Nothing found,,,
Tajikistan,,Nothing found,,,
Turkmenistan,,Nothing found,,,
Uzbekistan,,Nothing found,,,
Angola,,Nothing found,,,
Benin,,Nothing found,,,
Botswana,,Nothing found,,,
Burkina Faso,,Nothing found,,,
Burundi,,Nothing found,,,
Cabo Verde,,Nothing found,,,
Cameroon,,Nothing found,,,
Central African Republic,,Nothing found,,,
Chad,,Nothing found,,,
Comoros,,Nothing found,,,
Congo (Republic),,Nothing found,,,
Congo (DRC),,Nothing found,,,
Côte d’Ivoire,,Nothing found,,,
Djibouti,,Nothing found,,,
Equatorial Guinea,,Nothing found,,,
Eritrea,,Nothing found,,,
Eswatini,,Nothing found,,,
Ethiopia,,Nothing found,,,
Gabon,,Nothing found,,,
Gambia,,Nothing found,,,
Ghana,,Nothing found,,,
Guinea,,Nothing found,,,
Guinea-Bissau,,Nothing found,,,
Lesotho,,Nothing found,,,
Liberia,,Nothing found,,,
Madagascar,,Nothing found,,,
Malawi,,Nothing found,,,
Mali,,Nothing found,,,
Mauritania,,Nothing found,,,
Mauritius,,Nothing found,,,
Mozambique,,Nothing found,,,
Namibia,,Nothing found,,,
Niger,,Nothing found,,,
Rwanda,,Nothing found,,,
São Tomé and Príncipe,,Nothing found,,,
Senegal,,Nothing found,,,
Seychelles,,Nothing found,,,
Sierra Leone,,Nothing found,,,
Somalia,,Nothing found,,,
South Sudan,,Nothing found,,,
Sudan,,Nothing found,,,
Tanzania,,Nothing found,,,
Togo,,Nothing found,,,
Uganda,,Nothing found,,,
Zambia,,Nothing found,,,
Zimbabwe,,Nothing found,,,
Bolivia,,Nothing found,,,
Paraguay,,Nothing found,,,
Ecuador,,Nothing found,,,
Venezuela,,Nothing found,,,
Guatemala,,Nothing found,,,
Honduras,,Nothing found,,,
El Salvador,,Nothing found,,,
Nicaragua,,Nothing found,,,
Costa Rica,,Nothing found,,,
Panama,,Nothing found,,,
Dominican Republic,,Nothing found,,,
Haiti,,Nothing found,,,
Cuba,,Nothing found,,,
Jamaica,,Nothing found,,,
Trinidad and Tobago,,Nothing found,,,
Barbados,,Nothing found,,,
Bahamas,,Nothing found,,,
Belize,,Nothing found,,,
Guyana,,Nothing found,,,
Suriname,,Nothing found,,,
Saint Lucia,,Nothing found,,,
Saint Vincent and the Grenadines,,Nothing found,,,
Grenada,,Nothing found,,,
Antigua and Barbuda,,Nothing found,,,
Dominica,,Nothing found,,,
Saint Kitts and Nevis,,Nothing found,,,
Albania,,Nothing found,,,
Andorra,,Nothing found,,,
Austria,,Nothing found,,,
Belgium,,Nothing found,,,
Bosnia and Herzegovina,,Nothing found,,,
Bulgaria,,Nothing found,,,
Croatia,,Nothing found,,,
Cyprus,,Nothing found,,,
Czechia,,Nothing found,,,
Denmark,,Nothing found,,,
Estonia,,Nothing found,,,
Finland,,Nothing found,,,
Greece,,Nothing found,,,
Hungary,,Nothing found,,,
Iceland,,Nothing found,,,
Ireland,,Nothing found,,,
Kosovo,,Nothing found,,,
Latvia,,Nothing found,,,
Liechtenstein,,Nothing found,,,
Lithuania,,Nothing found,,,
Luxembourg,,Nothing found,,,
Malta,,Nothing found,,,
Moldova,,Nothing found,,,
Monaco,,Nothing found,,,
Montenegro,,Nothing found,,,
Netherlands,,Nothing found,,,
North Macedonia,,Nothing found,,,
Norway,,Nothing found,,,
Poland,,Nothing found,,,
Portugal,,Nothing found,,,
Romania,,Nothing found,,,
San Marino,,Nothing found,,,
Serbia,,Nothing found,,,
Slovakia,,Nothing found,,,
Slovenia,,Nothing found,,,
Sweden,,Nothing found,,,
Switzerland,,Nothing found,,,
Ukraine,,Nothing found,,,
Vatican City,,Nothing found,,,
North Korea,,Nothing found,,,
Mongolia,,Nothing found,,,
Taiwan,,Nothing found,,,
Macau,,Nothing found,,,
Papua New Guinea,,Nothing found,,,
Fiji,,Nothing found,,,
Solomon Islands,,Nothing found,,,
Vanuatu,,Nothing found,,,
Samoa,,Nothing found,,,
Tonga,,Nothing found,,,
Kiribati,,Nothing found,,,
Micronesia (Federated States of),,Nothing found,,,
Marshall Islands,,Nothing found,,,
Palau,,Nothing found,,,
Nauru,,Nothing found,,,
Tuvalu,,Nothing found,,,
Cook Islands,,Nothing found,,,
Niue,,Nothing found,,,
